date,open,high,low,close,prediction
20-08-2013,119,123.01,117.51,121.21,129.65
21-08-2013,121.21,124.91,119.68,123.3,127.04
22-08-2013,123.3,123.5,120.6,121.15,127.43
23-08-2013,122,122,118.44,118.5,129.12
24-08-2013,118.51,121.39,118.02,120.04,125.95
25-08-2013,119.6,122.99,119.17,122.11,127.25
26-08-2013,122.11,122.75,119.93,120.06,128.22
27-08-2013,120.07,127.24,120.07,126.5,128.38
28-08-2013,126.48,127.32,122.62,122.62,133.78
29-08-2013,122.62,123.7,122.21,122.39,134.78
30-08-2013,122.35,135.75,120.99,133.49,137.34
31-08-2013,133.09,140.89,132.72,135.35,133
01-09-2013,135.14,145.81,134.81,138.34,132.18
02-09-2013,138.63,146.5,134.89,135.85,114.13
03-09-2013,135.61,138.34,133,136.77,123.63
04-09-2013,136.53,144.5,123.61,126.74,129.01
05-09-2013,126.76,131.44,121.83,126.43,128.55
06-09-2013,126.49,127.34,119.15,119.15,129
07-09-2013,118.89,125.94,118.46,124.15,126.94
08-09-2013,124.13,124.72,120.49,121.66,126
09-09-2013,121.86,129.06,119.75,127.11,130.69
10-09-2013,127.27,129.74,125.9,125.91,130.59
11-09-2013,125.89,137.83,123.27,135.25,130.9
12-09-2013,135.55,136.08,131.81,133.13,135.19
13-09-2013,132.83,137.58,132.27,134.98,138.13
14-09-2013,135.01,135.85,128.87,129.22,140.52
15-09-2013,129.4,131.44,128.26,130.37,145.24
16-09-2013,130.86,132.72,129.77,131.72,142.55
17-09-2013,131.59,132.76,124.89,131.66,146.25
18-09-2013,131.71,133.2,130.54,131.47,155.96
19-09-2013,131.37,131.77,128.45,129.65,172.42
20-09-2013,129.7,135.62,126.68,127.04,174.61
21-09-2013,126.95,128.61,126.24,127.43,182.21
22-09-2013,127.87,133.94,126.59,129.12,193.76
23-09-2013,128.98,132.73,125.66,125.95,213.62
24-09-2013,126.05,127.46,125.39,127.25,198.23
25-09-2013,127.38,129.69,127.33,128.22,186.69
26-09-2013,128.21,134.93,127.32,128.38,177.32
27-09-2013,128.94,134.74,128.49,133.78,196.44
28-09-2013,133.77,135.63,132.56,134.78,198.55
29-09-2013,134.9,140.61,134.71,137.34,204.39
30-09-2013,137.15,138.35,130.27,133,199.97
01-10-2013,132.68,134.63,131.55,132.18,204
02-10-2013,132.05,133.59,102.25,114.13,206.18
03-10-2013,114.45,123.63,111.82,123.63,206.22
04-10-2013,123.41,130.09,123.41,129.01,215.05
05-10-2013,128.63,130.44,128.03,128.55,229.1
06-10-2013,128.36,129.66,126.15,129,245.24
07-10-2013,129.43,130.27,126.36,126.94,262.5
08-10-2013,126.74,127.47,124.71,126,296.41
09-10-2013,125.85,131.75,125.58,130.69,338.11
10-10-2013,130.67,131.5,129.26,130.59,339.11
11-10-2013,130.75,131.81,129.64,130.9,326.62
12-10-2013,130.9,135.66,130.56,135.19,342.44
13-10-2013,135.19,138.66,134.55,138.13,360.33
14-10-2013,139.27,144.12,138.9,140.52,407.37
15-10-2013,140.77,145.39,139.13,145.24,420.2
16-10-2013,145.65,152.23,142.43,142.55,417.95
17-10-2013,142.41,147.42,142.41,146.25,440.22
18-10-2013,146.37,155.96,145.57,155.96,492.11
19-10-2013,155.91,177.48,155.7,172.42,703.56
20-10-2013,171.66,174.91,168.95,174.61,584.61
21-10-2013,174.8,184.82,174.8,182.21,590.83
22-10-2013,182.65,196.27,182.65,193.76,722.43
23-10-2013,193.36,213.62,192.38,213.62,771.44
24-10-2013,214.3,217.42,168.52,198.23,797.82
25-10-2013,197.69,198.87,168.5,186.69,774.25
26-10-2013,187.45,188.41,175.75,177.32,799.11
27-10-2013,176.6,196.44,176.6,196.44,928.1
28-10-2013,196.21,198.62,192.06,198.55,1001.96
29-10-2013,198.55,204.79,198.55,204.39,1031.95
30-10-2013,204.39,209.16,199.97,199.97,1131.97
31-10-2013,199.83,205.18,198.85,204,1129.43
01-11-2013,203.9,206.65,202.13,206.18,955.85
02-11-2013,205.81,207.76,201.65,206.22,1043.33
03-11-2013,205.99,215.05,203.99,215.05,1078.28
04-11-2013,214.66,231.01,213.94,229.1,1151.17
05-11-2013,229.21,250.66,226.22,245.24,1045.11
06-11-2013,244.78,263,244.78,262.5,829.45
07-11-2013,261.68,304.17,261.55,296.41,698.23
08-11-2013,297.85,338.66,296.93,338.11,795.87
09-11-2013,338.58,370.82,319.71,339.11,893.19
10-11-2013,348.82,350.7,277.24,326.62,988.51
11-11-2013,325.41,351.27,311.78,342.44,878.48
12-11-2013,343.06,362.81,342.8,360.33,873.26
13-11-2013,360.97,414.05,359.8,407.37,892.58
14-11-2013,406.41,425.9,395.19,420.2,872.6
15-11-2013,419.41,437.89,396.11,417.95,876.12
16-11-2013,417.28,450.26,415.57,440.22,705.97
17-11-2013,440.96,500.58,440.24,492.11,682.12
18-11-2013,496.58,703.78,494.94,703.56,522.7
19-11-2013,712.76,806.11,456.39,584.61,691.96
20-11-2013,577.98,599.65,448.45,590.83,625.32
21-11-2013,594.32,733.4,577.29,722.43,605.66
22-11-2013,724.07,780.85,668.13,771.44,617.18
23-11-2013,771.7,844.97,771.7,797.82,673.41
24-11-2013,795.63,807.36,722.87,774.25,665.58
25-11-2013,773.02,810.68,754.43,799.11,682.21
26-11-2013,805.73,928.54,800.8,928.1,761.98
27-11-2013,923.85,1001.96,891.68,1001.96,735.07
28-11-2013,1003.38,1077.56,962.17,1031.95,727.83
29-11-2013,1042.01,1146.97,1000.64,1131.97,745.05
30-11-2013,1129.37,1156.14,1106.61,1129.43,756.13
01-12-2013,1128.92,1133.08,801.82,955.85,754.01
02-12-2013,951.42,1055.42,938.41,1043.33,771.4
03-12-2013,1046.4,1096,1011.21,1078.28,802.39
04-12-2013,1077.58,1156.12,1070.16,1151.17,818.72
05-12-2013,1152.73,1154.36,897.11,1045.11,859.51
06-12-2013,1042.38,1042.38,829.45,829.45,933.53
07-12-2013,835.32,854.64,640.22,698.23,953.29
08-12-2013,697.31,802.51,670.88,795.87,802
09-12-2013,793.8,921.93,780.9,893.19,842.72
10-12-2013,892.32,997.23,892.32,988.51,846.86
11-12-2013,989.07,1001.58,834.23,878.48,868.48
12-12-2013,882.78,901.94,844.95,873.26,913.95
13-12-2013,874.98,941.79,860.05,892.58,863.22
14-12-2013,899.85,904.65,858.36,872.6,841.2
15-12-2013,875.29,886.16,825,876.12,833.27
16-12-2013,880.33,882.25,668.25,705.97,860.9
17-12-2013,706.37,754.83,630.88,682.12,835.63
18-12-2013,678.2,679.32,420.51,522.7,814.64
19-12-2013,519.06,707.23,502.89,691.96,840
20-12-2013,694.22,729.16,595.33,625.32,870.96
21-12-2013,619.9,654.27,579.17,605.66,870.2
22-12-2013,601.78,666.74,585.64,617.18,863.91
23-12-2013,613.06,680.91,611.04,673.41,845.59
24-12-2013,672.36,684.39,645.71,665.58,822.04
25-12-2013,666.31,682.7,649.48,682.21,797.07
26-12-2013,683.94,777.75,683.94,761.98,853.61
27-12-2013,763.28,777.51,713.6,735.07,885.28
28-12-2013,737.98,747.06,705.35,727.83,771.39
29-12-2013,728.05,748.61,714.44,745.05,812.51
30-12-2013,741.35,766.6,740.24,756.13,826
31-12-2013,760.32,760.58,738.17,754.01,819.03
01-01-2014,754.97,775.35,754.97,771.4,829.92
02-01-2014,773.44,820.31,767.21,802.39,832.58
03-01-2014,802.85,834.15,789.12,818.72,825.37
04-01-2014,823.27,859.51,801.67,859.51,823.83
05-01-2014,858.55,952.4,854.52,933.53,827.96
06-01-2014,936.05,1017.12,905.71,953.29,811.91
07-01-2014,946.49,965.74,802,802,781.55
08-01-2014,795.99,870.68,776.18,842.72,712.4
09-01-2014,841.47,864.36,804.14,846.86,673.92
10-01-2014,846.69,871.19,822.6,868.48,682.9
11-01-2014,867.32,921.48,861.72,913.95,681.03
12-01-2014,919.6,928.52,851.17,863.22,672.17
13-01-2014,860.19,861.29,806.05,841.2,651.72
14-01-2014,843.17,855.69,825.66,833.27,605.24
15-01-2014,833.12,872.81,830.86,860.9,661.99
16-01-2014,860.29,866.16,835.63,835.63,650.92
17-01-2014,834.49,842.91,797.63,814.64,616.63
18-01-2014,816.07,841.49,816.07,840,626.27
19-01-2014,839.66,870.96,825.53,870.96,626.6
20-01-2014,871.39,886.39,853.87,870.2,623.03
21-01-2014,869.65,881.2,855.93,863.91,556.14
22-01-2014,867.21,870.15,837.36,845.59,574.16
23-01-2014,845.46,851.57,819.32,822.04,605.42
24-01-2014,822.43,822.43,783.58,797.07,605.82
25-01-2014,796.24,861.45,792.96,853.61,546.32
26-01-2014,853.68,897.02,844.86,885.28,538.71
27-01-2014,884.6,893,757.11,771.39,582.69
28-01-2014,774.02,832.5,766.98,812.51,578.77
29-01-2014,809.96,836.87,809.85,826,549.26
30-01-2014,826.02,830.5,799.06,819.03,565.61
31-01-2014,818.43,831.87,812.6,829.92,559.79
01-02-2014,828.61,853.52,827.11,832.58,667.76
02-02-2014,832.9,844.72,820.67,825.37,666.78
03-02-2014,824.08,826.48,807.22,823.83,665.51
04-02-2014,823.77,840.17,820.94,827.96,663.86
05-02-2014,829.96,837.32,811.91,811.91,629.15
06-02-2014,815.59,819.81,770.59,781.55,617.45
07-02-2014,783.2,783.2,654.35,712.4,636.96
08-02-2014,699.57,721.82,661.87,673.92,627.79
09-02-2014,671.46,712.27,655.25,682.9,634.11
10-02-2014,681.32,703.71,550.5,681.03,632.1
11-02-2014,683.5,712.46,636.66,672.17,638.14
12-02-2014,672.38,672.9,643.04,651.72,628.8
13-02-2014,651.08,657.99,601.91,605.24,636.12
14-02-2014,601.17,691.72,541.04,661.99,631.11
15-02-2014,660.9,661.84,632.84,650.92,622.37
16-02-2014,651.3,665.1,584.17,616.63,614.83
17-02-2014,614.23,656.95,607.31,626.27,609.89
18-02-2014,627.16,645.76,612.54,626.6,588.77
19-02-2014,625.97,631.77,618.7,623.03,571.49
20-02-2014,623.09,627.73,556.14,556.14,565.04
21-02-2014,556.88,582.96,530.47,574.16,561.27
22-02-2014,574.24,614.48,558.58,605.42,583.41
23-02-2014,606.47,639.91,599.7,605.82,583.92
24-02-2014,606.04,607.61,538.7,546.32,580.83
25-02-2014,540.24,541.38,420.41,538.71,471.24
26-02-2014,537.04,603.8,532.58,582.69,495.67
27-02-2014,581.65,594.05,566.62,578.77,491.17
28-02-2014,579.7,584.14,545.17,549.26,460.27
01-03-2014,549.92,573.38,539.29,565.61,457
02-03-2014,567.23,570.48,553.27,559.79,478.38
03-03-2014,562.56,702.91,560.52,667.76,437.14
04-03-2014,668.24,696.22,655.68,666.78,444.72
05-03-2014,666.24,674.28,646.28,665.51,447.53
06-03-2014,664.52,669.77,649.79,663.86,461.91
07-03-2014,664.31,665.34,616.35,629.15,460.5
08-03-2014,629.66,635.14,604.46,617.45,449.42
09-03-2014,616.31,643.95,612.35,636.96,453.09
10-03-2014,636.33,644.76,615.02,627.79,442.73
11-03-2014,627.95,638.42,618.84,634.11,365.18
12-03-2014,631.91,648.03,629.51,632.1,420.95
13-03-2014,633.62,644.2,630.85,638.14,421.12
14-03-2014,638.14,639.53,627.21,628.8,414.06
15-03-2014,629.37,639.14,627.3,636.12,458.79
16-03-2014,636.5,637.52,628.11,631.11,515.59
17-03-2014,630.92,632.68,616.85,622.37,527.4
18-03-2014,621.84,622.39,603.8,614.83,495.96
19-03-2014,613.9,622,609.1,609.89,479.64
20-03-2014,609.74,609.74,587.49,588.77,501.57
21-03-2014,588.29,604.59,561.81,571.49,498.17
22-03-2014,571.18,572.55,554.39,565.04,495.77
23-03-2014,565.76,570.24,560.88,561.27,487.92
24-03-2014,562.51,586.56,551.77,583.41,491.3
25-03-2014,585.03,585.44,572.6,583.92,500.46
26-03-2014,583.48,590.03,570.96,580.83,461.45
27-03-2014,580.26,580.56,471.24,471.24,458.6
28-03-2014,477.14,526.02,473.23,495.67,436.39
29-03-2014,501.71,504.86,489.73,491.17,440.29
30-03-2014,492.37,492.37,444.18,460.27,447.21
31-03-2014,462.3,483.02,443.36,457,447.64
01-04-2014,457,495.34,457,478.38,457.76
02-04-2014,479.14,495.05,431.27,437.14,449.38
03-04-2014,436.44,449.57,414.89,444.72,437.76
04-04-2014,445.66,454.65,429.09,447.53,436.4
05-04-2014,446.67,463.57,444.2,461.91,433.48
06-04-2014,463.4,466.32,452.97,460.5,428.96
07-04-2014,461.47,462.56,445.12,449.42,438.82
08-04-2014,447.61,457.42,446.11,453.09,440.17
09-04-2014,453.18,455.73,441.93,442.73,449.46
10-04-2014,442.26,443.37,358.73,365.18,454.43
11-04-2014,363.71,429.77,351.27,420.95,438.89
12-04-2014,420.89,439.61,415.79,421.12,441.46
13-04-2014,421.46,427.4,395.25,414.06,440.67
14-04-2014,414.83,469.75,407.37,458.79,443.97
15-04-2014,458.37,519,453.54,515.59,447.25
16-04-2014,522.18,542.38,502.78,527.4,448.06
17-04-2014,529.07,533.52,484.87,495.96,448.9
18-04-2014,495.8,498.6,472.74,479.64,446.26
19-04-2014,479.58,503.55,470.56,501.57,446.18
20-04-2014,501.75,510.87,490.84,498.17,485.72
21-04-2014,497.74,510.57,493.2,495.77,491.77
22-04-2014,495.45,503.22,487.58,487.92,524.58
23-04-2014,488.36,493.25,485.82,491.3,520.22
24-04-2014,490.83,500.46,482.95,500.46,525.14
25-04-2014,500.09,500.3,442.95,461.45,571.59
26-04-2014,461.7,464.54,449.1,458.6,583.42
27-04-2014,457.24,459.33,436.39,436.39,571.24
28-04-2014,430.72,447.53,422.94,440.29,577.06
29-04-2014,439.98,451.64,435.18,447.21,568.18
30-04-2014,446.89,451.1,436.7,447.64,615.33
01-05-2014,447.63,460.61,447.63,457.76,623.68
02-05-2014,457.36,457.93,443.4,449.38,630.23
03-05-2014,449.4,449.4,430.68,437.76,660.62
04-05-2014,438.52,439.77,430.05,436.4,667.6
05-05-2014,434.78,440.97,427.62,433.48,641.61
06-05-2014,433.36,448.04,423.25,428.96,659.26
07-05-2014,429.34,446.13,428.45,438.82,653.7
08-05-2014,438.68,448.4,438.14,440.17,654.97
09-05-2014,440.18,452.69,440.14,449.46,656.14
10-05-2014,450.46,455.77,448.47,454.43,649.16
11-05-2014,453.92,455.34,433.4,438.89,653.15
12-05-2014,438.3,442.26,434.23,441.46,633.02
13-05-2014,441.53,441.98,436.97,440.67,586.95
14-05-2014,440.59,446.66,440.5,443.97,600.16
15-05-2014,444.14,449.8,443.63,447.25,577.36
16-05-2014,447.39,450.66,444.96,448.06,592.94
17-05-2014,448.12,451.98,447.3,448.9,592.19
18-05-2014,448.7,449.77,444.78,446.26,610.86
19-05-2014,446.08,447.55,443.1,446.18,607.96
20-05-2014,446.3,491.44,446.01,485.72,598.07
21-05-2014,485.8,494.37,483.49,491.77,594.15
22-05-2014,492.05,525.36,490.19,524.58,594.99
23-05-2014,525.72,541.96,520.08,520.22,602.27
24-05-2014,521.05,525.17,516.28,525.14,593.98
25-05-2014,525.23,576.48,525.23,571.59,582.36
26-05-2014,571.39,588.39,565.33,583.42,566.34
27-05-2014,582.59,589.52,554.43,571.24,581.14
28-05-2014,571.91,578.62,564.09,577.06,597.26
29-05-2014,576.33,577.1,561.6,568.18,596.55
30-05-2014,568.18,618.46,568.16,615.33,602.72
31-05-2014,615.69,624.72,604.47,623.68,639.8
01-06-2014,623.69,671.51,619.91,630.23,640.81
02-06-2014,629.65,665.5,618.74,660.62,650.88
03-06-2014,660.55,674.11,650.78,667.6,645.16
04-06-2014,666.77,668.56,624.09,641.61,630.69
05-06-2014,641.07,663.53,640.09,659.26,631.46
06-06-2014,659.28,661.37,652.3,653.7,635.81
07-06-2014,653.52,656.94,644.91,654.97,624.09
08-06-2014,654.99,658.88,653.47,656.14,624.82
09-06-2014,655.64,657.7,644.39,649.16,624.51
10-06-2014,650.04,659.61,646.56,653.15,616.76
11-06-2014,653.19,657.04,632.55,633.02,632
12-06-2014,633.43,638.11,573.27,586.95,633.71
13-06-2014,585.7,615.14,585.7,600.16,626.5
14-06-2014,600.75,601.27,549.82,577.36,619.32
15-06-2014,575.93,592.94,554.89,592.94,621.59
16-06-2014,592.65,608.72,587.07,592.19,616.8
17-06-2014,591.59,610.89,590.4,610.86,623.09
18-06-2014,609.77,615.88,604.4,607.96,628.78
19-06-2014,608.07,612.24,597.02,598.07,628.52
20-06-2014,597.4,599.75,587.76,594.15,623.9
21-06-2014,593.68,599.46,587.74,594.99,622.21
22-06-2014,595.9,606,594.63,602.27,621.55
23-06-2014,602.16,603.21,586.34,593.98,619.41
24-06-2014,593.97,596.97,582.36,582.36,601.73
25-06-2014,581.81,583.6,565.63,566.34,601.09
26-06-2014,566.14,581.63,564.73,581.14,595.81
27-06-2014,581.3,600.12,579.89,597.26,593.85
28-06-2014,599.08,604.47,595.92,596.55,585.69
29-06-2014,596.33,604.08,596.16,602.72,584.72
30-06-2014,602.62,645.16,599.88,639.8,567.29
01-07-2014,641.39,657.86,640.11,640.81,586.23
02-07-2014,641.04,656.68,638.34,650.88,594.92
03-07-2014,650.77,650.77,641.3,645.16,589.33
04-07-2014,644.65,648.43,629.4,630.69,586.67
05-07-2014,629.95,633.22,628,631.46,588.78
06-07-2014,631.77,638.65,631.16,635.81,585.44
07-07-2014,635.46,637.16,617.01,624.09,584.65
08-07-2014,622.57,626.7,620.91,624.82,588.87
09-07-2014,625.22,627,622.6,624.51,592.58
10-07-2014,624.83,626.12,612.35,616.76,589.37
11-07-2014,616.66,632.09,615.77,632,591.06
12-07-2014,631.88,636.66,626.98,633.71,576.37
13-07-2014,634.22,634.73,624.91,626.5,569.64
14-07-2014,626.56,627.34,617.32,619.32,546.66
15-07-2014,620,625.14,619.64,621.59,505.97
16-07-2014,622.01,623.09,615.33,616.8,497.01
17-07-2014,616.54,626.29,608.4,623.09,519.71
18-07-2014,622.37,629.21,620.47,628.78,491.8
19-07-2014,629.17,629.17,624.6,628.52,461.46
20-07-2014,628.56,628.56,622.78,623.9,485.24
21-07-2014,623.95,624.09,619.11,622.21,511.98
22-07-2014,622.27,624.3,620.96,621.55,517.24
23-07-2014,621.12,624.43,618.29,619.41,514.04
24-07-2014,619.5,620.43,595.57,601.73,498.08
25-07-2014,601.51,607.07,597.23,601.09,508.29
26-07-2014,601.54,602.09,593.96,595.81,502.5
27-07-2014,595.67,598.94,593.43,593.85,511.57
28-07-2014,594.14,594.57,575.18,585.69,511.15
29-07-2014,585.55,588.39,581.7,584.72,507.82
30-07-2014,584.74,585.12,564.9,567.29,508.52
31-07-2014,567.37,586.23,564.51,586.23,504.25
01-08-2014,586.2,597.92,583.63,594.92,477.76
02-08-2014,594.9,594.91,586.16,589.33,474.88
03-08-2014,588.89,589.15,581.65,586.67,477.43
04-08-2014,586.23,591.95,583.74,588.78,477.59
05-08-2014,589.01,589.86,584.1,585.44,489.66
06-08-2014,585.95,587.49,583.1,584.65,483.34
07-08-2014,584.65,591.1,584.05,588.87,484.83
08-08-2014,588.88,598.12,588.79,592.58,482.28
09-08-2014,592.47,592.47,587.63,589.37,474.6
10-08-2014,589.17,594.46,587.94,591.06,475.26
11-08-2014,591.28,591.51,574.05,576.37,479.36
12-08-2014,576.51,576.95,566.59,569.64,479.75
13-08-2014,570.38,573.03,532.67,546.66,477.75
14-08-2014,546.18,546.24,498.73,505.97,479
15-08-2014,511.14,518.18,487.93,497.01,477.89
16-08-2014,497.83,521.47,487.74,519.71,475.37
17-08-2014,519.14,520.19,483.63,491.8,466.06
18-08-2014,491.51,499.37,443.85,461.46,457.33
19-08-2014,461.48,485.71,455.54,485.24,424.44
20-08-2014,485.07,518.28,467.51,511.98,394.8
21-08-2014,510.45,531.9,510.45,517.24,408.9
22-08-2014,517.58,521.48,501.27,514.04,398.82
23-08-2014,513.39,514.3,492.11,498.08,402.15
24-08-2014,498.29,512.89,497.35,508.29,435.79
25-08-2014,508.22,508.22,499.23,502.5,423.2
26-08-2014,502.54,512.69,502.54,511.57,411.57
27-08-2014,512.19,520.71,510.92,511.15,404.42
28-08-2014,510.88,516.16,506.88,507.82,399.52
29-08-2014,508.42,511.7,503.82,508.52,377.18
30-08-2014,508.59,509.31,501.64,504.25,375.47
31-08-2014,502.9,504.88,474.81,477.76,386.94
01-09-2014,477.79,485.31,471.91,474.88,383.61
02-09-2014,474.48,482.99,472.32,477.43,375.07
03-09-2014,476.87,481.71,476.21,477.59,359.51
04-09-2014,477.68,493.93,477.09,489.66,328.87
05-09-2014,489.67,490.64,481.61,483.34,320.51
06-09-2014,483.34,488.6,483,484.83,330.08
07-09-2014,485.13,488.07,482.28,482.28,336.19
08-09-2014,481.81,489.83,468.79,474.6,352.94
09-09-2014,474.88,477.38,467.78,475.26,365.03
10-09-2014,475.48,487.47,475.14,479.36,361.56
11-09-2014,479.62,482.35,474.61,479.75,362.3
12-09-2014,479.58,479.63,473.01,477.75,378.55
13-09-2014,477.79,482.12,475.1,479,390.41
14-09-2014,479.12,479.85,476.12,477.89,400.87
15-09-2014,477.77,478.62,474.02,475.37,394.77
16-09-2014,474.86,475.64,465.13,466.06,382.56
17-09-2014,465.86,468.17,452.42,457.33,383.76
18-09-2014,456.86,456.86,413.1,424.44,391.44
19-09-2014,424.1,427.83,384.53,394.8,389.55
20-09-2014,394.67,423.3,389.88,408.9,382.85
21-09-2014,408.08,412.43,393.18,398.82,386.48
22-09-2014,399.1,406.92,397.13,402.15,383.16
23-09-2014,402.09,441.56,396.2,435.79,358.42
24-09-2014,435.75,436.11,421.13,423.2,358.35
25-09-2014,423.16,423.52,409.47,411.57,347.27
26-09-2014,411.43,414.94,400.01,404.42,354.7
27-09-2014,403.56,406.62,397.37,399.52,352.99
28-09-2014,399.47,401.02,374.33,377.18,357.62
29-09-2014,376.93,385.21,372.24,375.47,335.59
30-09-2014,376.09,390.98,373.44,386.94,345.3
01-10-2014,387.43,391.38,380.78,383.61,338.32
02-10-2014,383.99,385.5,372.95,375.07,325.75
03-10-2014,375.18,377.7,357.86,359.51,325.89
